#area is 10345.2876square degrees
#zmid zlow zhigh n(z) Nbin Vol_bin
0.265 0.26 0.27 0.00038083089845129396 17269.08257424553 45345802.151224725
0.275 0.27 0.28 0.0003411487032734942 16476.003463521483 48295664.92683661
0.28500000000000003 0.28 0.29000000000000004 0.0002785437549094975 14289.16952068261 51299550.856293105
0.29500000000000004 0.29000000000000004 0.3 0.00028499945649336186 15490.921841434278 54354215.38003912
0.305 0.3 0.31 0.0002800147680011244 16088.664922357204 57456487.1603222
0.315 0.31 0.32 0.00024208465750699088 14671.12275487681 60603273.689300776
0.325 0.32 0.33 0.00020269850498914524 12930.456641892217 63791573.80852246
0.335 0.33 0.34 0.00016941266371591897 11353.76820862873 67018415.03222799
0.34500000000000003 0.34 0.35000000000000003 0.00014359807725523724 10092.212604993814 70280973.10143988
0.35500000000000004 0.35000000000000003 0.36000000000000004 0.00011460702480469429 8432.382282565039 73576487.10395324
0.365 0.36000000000000004 0.37 9.817197575575212e-05 7549.643087183174 76902222.13685888
0.375 0.37 0.38 8.554354902097802e-05 6865.346822667014 80255576.26774885
0.385 0.38 0.39 7.175135627109947e-05 6000.851602321114 83633981.49085833
0.395 0.39 0.4 5.7030894995916443e-05 4963.684487010883 87035009.48681052
0.405 0.4 0.41000000000000003 5.127447923443016e-05 4638.096680903355 90456241.58750953
0.41500000000000004 0.41000000000000003 0.42000000000000004 4.608067312369892e-05 4326.761414307223 93895360.48426351
0.42500000000000004 0.42000000000000004 0.43 4.711665625986623e-05 4586.809862480805 97350071.64308964
0.435 0.43 0.44 7.471149615040728e-05 7532.285690476981 100818295.42421657
0.445 0.44 0.45 0.00011375121768343144 11864.011629961595 104297886.84090422
0.455 0.45 0.46 0.0001401169863476431 15102.763630578724 107786814.60581361
0.465 0.46 0.47000000000000003 0.00011480314033441873 12775.640386308074 111283021.95473875
0.47500000000000003 0.47000000000000003 0.48000000000000004 9.30920007590762e-05 10685.554254118462 114784881.26786394
0.485 0.48000000000000004 0.49 8.711773149761694e-05 10305.173546073194 118290196.13940576
0.495 0.49 0.5 8.009907186360565e-05 9755.8703065395 121797544.95972185
0.505 0.5 0.51 8.452765304480539e-05 10591.735739420315 125304978.40518506
0.515 0.51 0.52 6.811873500931181e-05 8774.450420240211 128811118.10195456
0.525 0.52 0.53 3.7703618538601084e-05 4988.718594546934 132314053.34316832
0.535 0.53 0.54 3.4200061513650366e-05 4644.796762201263 135812526.5461108
0.545 0.54 0.55 3.496057043220113e-05 4870.186251654705 139305114.0598359
0.555 0.55 0.56 3.8183478014821977e-05 5452.230587127443 142790308.02304098
0.5650000000000001 0.56 0.5700000000000001 4.128103070629943e-05 6038.040701863136 146266713.75581083
0.5750000000000001 0.5700000000000001 0.5800000000000001 4.5823042164332415e-05 6861.232794492437 149733244.90081674
0.585 0.5800000000000001 0.59 5.138844141160349e-05 7872.116996294951 153188475.4636172
0.595 0.59 0.6 5.616036497452181e-05 8796.47574405749 156631384.9286445
0.605 0.6 0.61 6.358043019140454e-05 10176.733488016425 160060783.75657517
0.615 0.61 0.62 7.235319403557056e-05 11827.979382900521 163475566.49794346
0.625 0.62 0.63 7.80024296361396e-05 13016.640517578126 166874808.62195268
0.635 0.63 0.64 8.646737010195619e-05 14721.71545134234 170257467.4583434
0.645 0.64 0.65 9.53732478387558e-05 16558.948715831648 173622573.32189506
0.655 0.65 0.66 0.0001047989401769415 18546.207800998727 176969421.3480164
0.665 0.66 0.67 0.00012052980693043946 21731.144254651765 180296847.79295558
0.675 0.67 0.68 0.00012989884194052352 23850.02183576722 183604576.29550982
0.685 0.68 0.6900000000000001 0.00015176028074343113 28362.629953414693 186890995.55215704
0.6950000000000001 0.6900000000000001 0.7000000000000001 0.00019398581972731652 36887.65190837869 190156434.9406117
